,index-cw-10,index-cw-20,index-cw-30,index-ew-10,index-ew-20,index-ew-30
index-cw-10,1.0,0.0,0.0,8.48543719424318e-261,3.3621268957505615e-247,9.668421477994426e-250
index-cw-20,0.0,1.0,0.0,2.572802584042123e-249,1.836483164814889e-238,1.0846860547592028e-240
index-cw-30,0.0,0.0,1.0,1.4988336432454465e-234,5.697231596704577e-228,5.137470261097364e-229
index-ew-10,8.48543719424318e-261,2.572802584042123e-249,1.4988336432454465e-234,1.0,0.0,0.0
index-ew-20,3.3621268957505615e-247,1.836483164814889e-238,5.697231596704577e-228,0.0,1.0,0.0
index-ew-30,9.668421477994426e-250,1.0846860547592028e-240,5.137470261097364e-229,0.0,0.0,1.0
