Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
18,Polygon,MATIC,matic-network,"$3,688,244,673.68",$0.4606,8.006.803.853 MATIC *,"$422,541,678.63","-0,12%","-6,57%","-17,85%"
19,Uniswap,UNI,uniswap,"$3,607,589,189.00",$4.91,734.135.451 UNI *,"$83,246,348.16","0,15%","-0,05%","-12,26%"
33,Decentraland,MANA,decentraland,"$1,549,025,789.40",$0.8377,1.849.216.541 MANA *,"$97,021,074.36","0,06%","0,21%","-10,17%"
34,ApeCoin,APE,apecoin,"$1,367,468,844.20",$4.57,299.531.250 APE *,"$143,372,080.88","0,28%","1,07%","-2,92%"
35,The Sandbox,SAND,the-sandbox,"$1,311,212,067.99",$1.04,1.258.626.081 SAND *,"$151,449,506.20","0,34%","-0,09%","-11,39%"
42,Axie Infinity,AXS,axie-infinity,"$1,169,753,613.69",$14.18,82.475.674 AXS *,"$119,533,717.93","0,19%","1,93%","-12,34%"
48,Maker,MKR,maker,"$882,251,181.48",$902.44,977.631 MKR *,"$82,854,820.03","0,35%","-0,64%","-9,86%"
51,Aave,AAVE,aave,"$801,803,698.93",$57.62,13.915.774 AAVE *,"$95,602,593.64","-0,18%","-0,37%","-11,96%"
55,OKB,OKB,okb,"$740,273,939.44",$12.34,60.000.000 OKB *,"$7,312,343.05","-0,05%","2,36%","-1,26%"
62,Fantom,FTM,fantom,"$653,497,455.65",$0.2568,2.545.006.273 FTM *,"$127,393,072.15","-0,30%","4,49%","-7,66%"
