Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
13,Polygon,MATIC,matic-network,"$6,675,209,425.46",$0.7643,8.734.317.475 MATIC *,"$208,719,269.43","-1,40%","-0,21%","3,25%"
17,Uniswap,UNI,uniswap,"$4,766,835,265.09",$6.25,762.209.327 UNI *,"$140,262,196.91","-0,82%","-2,41%","10,24%"
38,ApeCoin,APE,apecoin,"$1,539,013,763.61",$5.02,306.875.000 APE *,"$107,878,366.17","-1,19%","-4,40%","-12,26%"
41,Decentraland,MANA,decentraland,"$1,266,785,585.24",$0.6829,1.855.084.192 MANA *,"$70,828,324.37","-1,01%","-1,47%","-2,21%"
43,The Sandbox,SAND,the-sandbox,"$1,220,656,024.56",$0.8141,1.499.470.108 SAND *,"$115,261,351.86","-1,11%","-2,63%","-5,85%"
47,Aave,AAVE,aave,"$1,025,170,155.93",$72.74,14.093.193 AAVE *,"$82,794,766.58","-1,49%","-2,38%","-1,39%"
48,Axie Infinity,AXS,axie-infinity,"$1,008,881,983.23",$12.15,83.056.187 AXS *,"$32,742,661.51","-1,57%","-3,42%","-1,99%"
50,OKB,OKB,okb,"$936,051,885.06",$15.60,60.000.000 OKB *,"$14,024,990.59","-0,70%","-2,47%","4,84%"
58,Maker,MKR,maker,"$738,657,038.57",$755.56,977.631 MKR *,"$35,251,210.96","-0,98%","3,30%","6,50%"
62,The Graph,GRT,the-graph,"$653,198,610.83",$0.09467,6.900.000.000 GRT *,"$16,824,104.15","-1,64%","-2,98%","-6,76%"
