timestamp,price,market_cap
1617494400000,35911.46695624134,1299293553.7175257
1617580800000,37739.22741739595,1363886902.1024914
1617667200000,38649.07038243674,1394643871.826565
1617753600000,41788.88185992535,1507286936.3576849
1617840000000,44261.826320943845,1591028393.1812835
1617926400000,47334.34700325824,1716781481.2089753
1618012800000,45810.23452966821,1654263914.7777815
1618099200000,44776.545049886496,1619475394.7126086
1618185600000,45207.61343344598,1631464379.423722
1618272000000,43171.511997225905,1557229260.455598
1618358400000,45001.29703211675,1621806028.5692344
1618444800000,47230.61359179492,1706712321.7545834
1618531200000,50414.51278022504,1814995465.1208882
1618617600000,53070.08324051708,1909951154.2111526
1618704000000,49190.78536130941,1779123047.4457111
1618790400000,53228.602440330375,1938839411.5325372
1618876800000,47014.204014332005,1703687962.5142324
1618963200000,48876.349946939044,1768988916.898156
1619049600000,45660.586206262866,1661331121.0980244
1619136000000,45677.1869174677,1662811566.501278
1619222400000,43291.509542955355,1561109087.790456
1619308800000,39100.15856223629,1427596933.7359369
1619395200000,39778.966143137965,1432996619.2946668
1619481600000,45328.30893852002,1634598866.596463
1619568000000,48378.79537134901,1748473948.522545
1619654400000,48154.87716006788,1735916631.3087232
1619740800000,46845.35690090778,1691722812.4130886
1619827200000,48905.81250534752,1766137392.3189132
1619913600000,49781.479499079935,1798822370.5392404
1620000000000,48386.611793869575,1745677441.956469
1620086400000,53497.41463739713,1933337926.4469972
1620172800000,50214.73494761386,1839740925.5417569
1620259200000,54653.80780501693,1975763501.887408
1620345600000,52838.196667960125,1906410105.1336997
1620432000000,53808.56357731458,1944415568.9848547
1620518400000,54258.80332500195,1948683316.3174007
1620604800000,53394.22709903171,1920523621.3180094
1620691200000,61649.66072086718,2192144857.314991
1620777600000,82070.75751880453,2927390093.8725586
1620864000000,67183.85091835374,2594861733.717324
1620950400000,66564.66785060665,2379553342.171277
1621036800000,77849.84415581604,2815999103.3215003
1621123200000,66514.70746695036,2403164232.005224
1621209600000,65580.26240282423,2365210480.0992637
1621296000000,64202.91421209942,2340120716.0206223
1621382400000,73384.4368857363,2630544886.1908436
1621468800000,46709.87388509536,1716697107.6891308
1621555200000,51577.812852751624,1845117705.9411173
1621641600000,43737.59813007145,1562308501.818695
1621728000000,38642.087692231755,1397513746.313507
1621814400000,33003.00641373952,1178888622.6687152
1621900800000,48184.206501618886,1749399291.1749651
1621987200000,46787.7540530521,1688152410.6565566
1622073600000,50026.96766808553,1796409789.0981967
1622160000000,47087.18991056708,1696385624.0140154
1622246400000,41140.195520777146,1486489459.9747236
1622332800000,39399.976650115044,1437994328.6143875
1622419200000,41941.05084685992,1513847438.5543554
1622505600000,46995.11748575081,1702887212.9949644
1622592000000,45181.548975194855,1634669077.3328738
1622678400000,45387.96722806322,1637517751.9830961
1622764800000,45925.470727683365,1666594097.6583815
1622851200000,42709.65031802198,1540826290.2198956
1622937600000,42272.652861174065,1514902551.24298
1623024000000,43056.31672292583,1553440676.1604147
1623110400000,40098.13477378052,1460368915.8778539
1623196800000,39803.4799447474,1442092422.800374
1623283200000,40367.497492253824,1461455441.089748
1623369600000,37888.74712239124,1377788910.070635
1623456000000,36838.670900047684,1325921178.9329104
1623542400000,36469.84359425904,1323635489.9891431
1623628800000,38686.689145623175,1389340125.4024155
1623715200000,39491.22179141695,1424300100.108234
1623801600000,39211.60544512071,1416852290.8503263
1623888000000,36296.38568186865,1309888571.1930766
1623974400000,36429.186629438766,1307052026.0675523
1624060800000,34024.049500792345,1230474422.7494607
1624147200000,33384.826630889314,1203248032.600081
1624233600000,36130.32153050478,1304905163.0524957
1624320000000,29617.497987455896,1074404079.6228151
1624406400000,28541.894862379188,1024472495.3517498
1624492800000,30965.80798190082,1115201269.2284646
1624579200000,31356.40158436305,1132662909.8576043
1624665600000,28728.383090042436,1037791150.1056142
1624752000000,28398.41056178194,1023689113.2412993
1624838400000,30036.140868990402,1083406042.4481943
1624924800000,31506.464751838037,1123492999.0901775
1625011200000,33596.28768767325,1201452418.7826498
1625097600000,33825.45949442201,1205682363.4541097
1625184000000,32284.979744676984,1150105649.6344643
1625270400000,32145.75055693154,1144611032.6807458
1625356800000,32710.402463999937,1164366725.8807929
