timestamp,price,market_cap
1641081600000,36591.70311559391,1298477083.429327
1641168000000,39095.17312977268,1395343689.2773204
1641254400000,38914.75669878003,1398707763.0730662
1641340800000,36344.26803938124,1312853405.9318466
1641427200000,32943.37264940805,1180721126.2458022
1641513600000,36078.82409793872,1290369126.6881692
1641600000000,35733.24190776579,1267965286.5233905
1641686400000,33222.266522601676,1188678756.518867
1641772800000,32703.185849338457,1159698530.1425252
1641859200000,32051.533764095995,1137934587.9128554
1641945600000,32782.550844043646,1172108685.5216
1642032000000,33810.80014790138,1205544314.991707
1642118400000,31516.866353300316,1129944041.251929
1642204800000,32275.402960591204,1149681165.7733433
1642291200000,33534.49617398305,1196434439.6808667
1642377600000,33677.54908747195,1203611426.1531117
1642464000000,31647.871737423986,1131441116.1478517
1642550400000,32624.30868262674,1166657127.96045
1642636800000,32220.842124163348,1153154215.225703
1642723200000,31388.963088835873,1123882505.140652
1642809600000,25678.86119430819,921709977.270799
1642896000000,22888.21845244274,815522110.2315003
1642982400000,24968.01101325629,889981519.9521639
1643068800000,24042.6675882887,860002002.979581
1643155200000,24589.046307657256,877998083.0577873
1643241600000,24310.025949739833,870606413.2962618
1643328000000,23914.51830177997,850702854.2693924
1643414400000,23521.856537869353,839770919.9932922
1643500800000,24268.442508455573,863728229.3489717
1643587200000,23860.896787606587,852718222.784237
1643673600000,24886.13354627152,885807060.7160962
1643760000000,25493.461394541642,909101142.9758506
1643846400000,23082.223939027048,822220341.0958872
1643932800000,23490.51108406493,837549244.208675
1644019200000,24753.685277391403,879529592.0933241
1644105600000,25254.466370497852,901831881.3123513
1644192000000,24632.416778764527,877380494.9750302
1644278400000,26622.111780932843,954454816.0105766
1644364800000,25582.507300636556,913651575.3824304
1644451200000,26300.06333548816,939463738.1956221
1644537600000,24490.540224226464,874194291.9841135
1644624000000,23105.96752152455,824094392.0623865
1644710400000,23171.31131242856,823754830.1157339
1644796800000,22972.99125198256,820139827.620172
1644883200000,23163.73155583814,827231102.457917
1644969600000,24438.582512677654,873836670.7065643
1645056000000,23734.979175019504,851416754.4558411
1645142400000,22421.210065608266,801074748.6815512
1645228800000,22008.94433826766,786969668.5329037
1645315200000,21706.50171969905,774427886.6559113
1645401600000,20779.641065966403,746811585.4683244
1645488000000,19743.616673194614,712207888.3120993
1645574400000,20639.855235848783,738364644.271741
1645660800000,20437.693959878412,729639290.4321175
1645747200000,19398.817976002458,691101735.8541328
1645833600000,20222.38303080661,723605424.8317372
1645920000000,20852.19560908908,743105959.5190275
1646006400000,19477.382277606644,694257598.3044877
1646092800000,21547.983485792218,766298679.2302928
1646179200000,21642.209767667988,771892729.9609816
1646265600000,22374.84441601269,799532578.9849218
1646352000000,21674.183553685216,774800244.695805
1646438400000,19861.505033823014,712531317.4988693
1646524800000,20285.01113803471,723567987.2989548
1646611200000,18257.188759172546,651580135.1627055
1646697600000,18432.237912913966,657123870.23404
1646784000000,19255.078497565653,688951508.1998389
1646870400000,20357.617244724595,725760446.5668294
1646956800000,19057.71032396997,678750873.9718447
1647043200000,18535.251406242165,663176460.3653644
1647129600000,18406.11292042933,657887909.7462537
1647216000000,18037.25783372283,643011124.1677666
1647302400000,18533.49483838329,660449705.1128509
1647388800000,18504.46416175929,662851556.0622427
1647475200000,19220.526672767992,685828509.6782959
1647561600000,19448.802156805094,694096593.7196752
1647648000000,20577.6863591075,735175445.2978705
1647734400000,20734.28388893245,740030729.310692
1647820800000,19946.604647717195,711657503.213969
1647907200000,20361.228325980952,725767637.0511096
1647993600000,20328.599969950283,725727334.3712229
1648080000000,20446.047978013397,729067128.6524414
1648166400000,21219.146016932544,758938787.6884028
1648252800000,20601.90931335685,735707051.2624123
1648339200000,21128.259868826874,755196742.6583669
1648425600000,22184.108449995627,791515922.4461863
1648512000000,22245.722176720803,800886333.121137
1648598400000,23322.834215555322,834037124.6706872
1648684800000,24020.01208795831,860841579.3191309
1648771200000,22269.240115536188,792984557.5045589
1648857600000,23484.261423152362,837001512.514649
1648944000000,23316.2839929095,817158924.3570043
