Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
10,Polygon,MATIC,matic-network,"$6,637,843,574.08",$0.76,8.734.317.475 MATIC *,"$106,486,710.51","0,27%","0,19%","-4,42%"
16,Uniswap,UNI,uniswap,"$3,998,664,734.41",$5.25,762.209.327 UNI *,"$31,380,680.62","-0,13%","1,61%","1,75%"
28,OKB,OKB,okb,"$1,647,232,775.85",$27.45,60.000.000 OKB *,"$24,291,868.56","0,45%","5,57%","18,60%"
30,ApeCoin,APE,apecoin,"$1,395,907,440.09",$3.86,361.250.000 APE *,"$104,656,765.77","0,75%","6,22%","7,57%"
46,Aave,AAVE,aave,"$733,491,947.97",$52.05,14.093.193 AAVE *,"$27,482,202.60","0,05%","0,13%","-4,42%"
48,BitDAO,BIT,bitdao,"$696,127,648.41",$0.3329,2.090.946.169 BIT *,"$30,029,741.63","0,18%","-2,24%","18,13%"
53,Axie Infinity,AXS,axie-infinity,"$632,185,620.11",$6.31,100.125.814 AXS *,"$50,346,487.23","-0,13%","4,50%","-8,40%"
58,The Sandbox,SAND,the-sandbox,"$582,958,437.77",$0.3888,1.499.470.108 SAND *,"$77,125,523.48","0,07%","1,52%","-12,13%"
59,Decentraland,MANA,decentraland,"$559,156,404.41",$0.3014,1.855.084.192 MANA *,"$24,688,667.42","0,14%","1,48%","-7,90%"
60,Fantom,FTM,fantom,"$556,103,308.57",$0.2009,2.767.863.375 FTM *,"$21,942,480.76","0,06%","0,61%","-0,89%"
62,Maker,MKR,maker,"$501,543,038.13",$513.02,977.631 MKR *,"$16,845,169.40","0,11%","0,49%","-5,05%"
64,The Graph,GRT,the-graph,"$492,947,081.71",$0.05651,8.722.579.391 GRT *,"$9,026,735.60","0,64%","2,04%","-2,27%"
73,Nexo,NEXO,nexo,"$376,120,428.70",$0.6716,560.000.011 NEXO *,"$16,079,545.98","-0,20%","2,44%","3,11%"
74,Synthetix,SNX,havven,"$367,603,381.82",$1.48,249.218.759 SNX *,"$14,430,463.08","0,35%","2,25%","-0,35%"
78,Lido DAO,LDO,lido-dao,"$338,036,856.27",$1.08,312.951.154 LDO *,"$63,778,559.49","0,05%","13,39%","11,35%"
80,Frax Share,FXS,frax-share,"$321,988,562.84",$4.43,72.711.918 FXS *,"$6,027,009.58","0,68%","6,78%","-7,22%"
82,XDC Network,XDC,xdce-crowd-sale,"$316,881,365.57",$0.02575,12.305.012.699 XDC *,"$1,950,772.75","-0,02%","1,48%","-4,14%"
84,1inch Network,1INCH,1inch,"$302,474,320.47",$0.3858,783.998.309 1INCH *,"$9,527,562.72","-0,06%","0,46%","-3,14%"
86,ImmutableX,IMX,immutable-x,"$295,480,329.54",$0.3855,766.468.467 IMX *,"$4,338,755.46","0,16%","0,52%","-9,18%"
88,Curve DAO Token,CRV,curve-dao-token,"$279,961,046.42",$0.5267,531.583.334 CRV *,"$22,651,644.71","-0,07%","0,35%","0,96%"
97,Balancer,BAL,balancer,"$241,906,536.64",$5.22,46.342.785 BAL *,"$3,491,729.43","0,37%","1,06%","-4,15%"
99,Convex Finance,CVX,convex-finance,"$232,231,405.76",$3.20,72.461.262 CVX *,"$2,068,627.31","-0,01%","0,07%","-11,01%"
101,Compound,COMP,compound-governance-token,"$229,523,250.26",$31.58,7.267.152 COMP *,"$21,598,896.34","0,00%","1,24%","-0,77%"
102,Ethereum Name Service,ENS,ethereum-name-service,"$220,476,373.62",$10.89,20.244.862 ENS *,"$9,629,747.25","0,49%","1,20%","-1,59%"
104,Gnosis,GNO,gnosis,"$216,671,915.11",$83.67,2.589.588 GNO *,"$1,774,007.13","0,16%","0,62%","-3,37%"
106,SushiSwap,SUSHI,sushi,"$208,916,657.46",$0.94,222.257.372 SUSHI *,"$24,760,982.84","0,32%","1,74%","0,72%"
111,SwissBorg,CHSB,swissborg,"$198,256,698.38",$0.1983,1.000.000.000 CHSB *,"$151,399.29","-0,07%","-1,22%","-4,59%"
118,yearn.finance,YFI,yearn-finance,"$188,230,760.80","$5,137.62",36.638 YFI *,"$10,223,793.90","0,24%","0,96%","-6,91%"
127,WOO Network,WOO,woo-network,"$151,679,295.12",$0.1251,1.212.242.610 WOO *,"$14,598,259.56","0,41%","4,29%","9,32%"
129,Ankr,ANKR,ankr,"$151,273,711.43",$0.01566,9.662.899.378 ANKR *,"$11,228,153.55","0,45%","2,01%","-9,12%"
