index,total_return,mean,median,std,sharpe_ratio,sortino_ratio,max_drawdown
index-cw-30,0.7434521243062147,0.002141302883598909,0.005435509760760793,0.053668716449901975,-0.21100983090721623,-0.3036127678166541,0.8485722856124487
bitcoin,-0.11394416894305226,0.0005386781044133703,-0.000268771480698593,0.037040320334981496,-0.33257406678453993,-0.5127534938713173,0.7671822068881932
ethereum,1.344103900169321,0.0022375448272646593,0.0017122753086062925,0.048818424718095464,-0.22762221295210108,-0.3523234834835286,0.7933018460301267
dpi,-0.3334201613961526,0.0011051085163177531,0.001187559709171504,0.056379125529900515,-0.21933787488551165,-0.3356201152587481,0.91005335576378
crix,0.10028534651148124,0.0011516322295170587,0.0014132062494628395,0.04423912389503124,-0.27287551297372675,-0.4179046838166254,0.773023478454124
