Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
12,Uniswap,UNI,uniswap,"$15,905,262,491.67",$26.00,611.643.724 UNI *,"$402,608,635.81","0,33%","-0,67%","8,22%"
20,Polygon,MATIC,matic-network,"$8,843,328,492.30",$1.33,6.672.300.637 MATIC *,"$830,568,656.84","1,60%","2,22%","18,02%"
23,Axie Infinity,AXS,axie-infinity,"$8,424,612,358.11",$138.32,60.907.500 AXS *,"$2,673,087,028.99","3,62%","28,14%","116,82%"
41,Aave,AAVE,aave,"$4,096,538,965.81",$310.55,13.191.090 AAVE *,"$248,739,139.01","0,40%","-1,28%","5,94%"
44,Fantom,FTM,fantom,"$3,739,569,892.23",$1.47,2.545.006.273 FTM *,"$386,944,373.01","0,78%","0,66%","24,74%"
45,The Graph,GRT,the-graph,"$3,469,409,888.97",$0.7357,4.715.735.200 GRT *,"$112,004,758.27","0,74%","1,14%","9,54%"
55,Maker,MKR,maker,"$2,520,122,846.93","$2,542.17",991.328 MKR *,"$109,299,844.99","0,55%","2,29%","8,36%"
65,Compound,COMP,compound-governance-token,"$1,797,390,221.65",$326.44,5.506.108 COMP *,"$231,935,905.93","0,14%","-3,58%","-7,52%"
70,XDC Network,XDC,xdce-crowd-sale,"$1,604,533,484.22",$0.1305,12.299.397.470 XDC,"$6,544,898.93","-1,06%","-2,81%","-6,51%"
77,Decentraland,MANA,decentraland,"$1,390,482,900.20",$0.7653,1.816.971.891 MANA *,"$76,887,614.77","0,76%","1,58%","7,18%"
