Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
10,Polygon,MATIC,matic-network,"$6,637,843,574.08",$0.76,8.734.317.475 MATIC *,"$106,486,710.51","0,27%","0,19%","-4,42%"
16,Uniswap,UNI,uniswap,"$3,998,664,734.41",$5.25,762.209.327 UNI *,"$31,380,680.62","-0,13%","1,61%","1,75%"
28,OKB,OKB,okb,"$1,647,232,775.85",$27.45,60.000.000 OKB *,"$24,291,868.56","0,45%","5,57%","18,60%"
30,ApeCoin,APE,apecoin,"$1,395,907,440.09",$3.86,361.250.000 APE *,"$104,656,765.77","0,75%","6,22%","7,57%"
46,Aave,AAVE,aave,"$733,491,947.97",$52.05,14.093.193 AAVE *,"$27,482,202.60","0,05%","0,13%","-4,42%"
48,BitDAO,BIT,bitdao,"$696,127,648.41",$0.3329,2.090.946.169 BIT *,"$30,029,741.63","0,18%","-2,24%","18,13%"
53,Axie Infinity,AXS,axie-infinity,"$632,185,620.11",$6.31,100.125.814 AXS *,"$50,346,487.23","-0,13%","4,50%","-8,40%"
58,The Sandbox,SAND,the-sandbox,"$582,958,437.77",$0.3888,1.499.470.108 SAND *,"$77,125,523.48","0,07%","1,52%","-12,13%"
59,Decentraland,MANA,decentraland,"$559,156,404.41",$0.3014,1.855.084.192 MANA *,"$24,688,667.42","0,14%","1,48%","-7,90%"
60,Fantom,FTM,fantom,"$556,103,308.57",$0.2009,2.767.863.375 FTM *,"$21,942,480.76","0,06%","0,61%","-0,89%"
