timestamp,index_value
1609632000,100.0
1609718400,107.6908695948252
1609804800,105.84574424846863
1609891200,116.37672083884256
1609977600,121.16996771855631
1610064000,121.2152093565658
1610150400,119.7140797023595
1610236800,129.47239907729184
1610323200,128.93624488885453
1610409600,113.46259292169124
1610496000,117.44568398472214
1610582400,128.98821638865766
1610668800,129.82510393199678
1610755200,132.41608728085677
1610841600,141.25618413107244
1610928000,145.48083983662102
1611014400,149.4573659144832
1611100800,144.41197930729228
1611187200,146.58291272659451
1611273600,125.711312554024
1611360000,140.93507523918925
1611446400,146.13921682542923
1611532800,171.03909280645823
1611619200,160.92587623832247
1611705600,172.4929053862453
1611792000,166.9443419598281
1611878400,177.07633403278462
1611964800,181.6775748878807
1612051200,199.46121293505908
1612137600,195.9263000946863
1612224000,206.1814901381376
1612310400,210.6206528797202
1612396800,232.15394780321182
1612483200,253.47652135509017
1612569600,280.21580526845037
1612656000,262.1152460061662
1612742400,257.91018541131666
1612828800,266.4320590402544
1612915200,284.8052082118183
1613001600,296.7993175673783
1613088000,314.50917280563397
1613174400,329.1324648232622
1613260800,322.5377148970428
1613347200,306.88477231596517
1613433600,295.77810516961483
1613520000,294.7238280936674
1613606400,307.33630669065815
1613692800,311.5552610426481
1613779200,316.6244194677286
1613865600,335.02176439182375
1613952000,355.5605082462153
1614038400,331.98075289399804
1614124800,290.80223952130746
1614211200,305.32368423809424
1614297600,286.3300010222055
1614384000,284.30247392719696
1614470400,292.22888238381483
1614556800,282.52849325148287
1614643200,316.6287697689213
1614729600,317.9618289749233
1614816000,325.20571695634976
1614902400,324.6782806900751
1614988800,320.44265633533774
1615075200,375.19030934911007
1615161600,409.70614827107613
1615248000,415.7463997607727
1615334400,429.7923350967289
1615420800,408.0471523190399
1615507200,410.6533671558914
1615593600,399.9014034553618
1615680000,425.3648045068902
1615766400,408.0631053536168
1615852800,396.8459595646904
1615939200,397.1874125470832
1616025600,413.78749017205035
1616112000,403.35558906931095
1616198400,423.2199591765157
1616284800,413.60626335807734
1616371200,414.1010731214112
1616457600,398.23560723456507
1616544000,383.6658345319584
1616630400,354.5254253508471
1616716800,347.55642018008484
1616803200,377.7923969899484
1616889600,374.90763009934466
1616976000,376.4198899642777
1617062400,395.8964420808703
1617148800,400.4022036857104
1617235200,400.25906154039984
1617321600,409.8813272859985
1617408000,432.0224537727248
1617494400,409.26251362616193
1617580800,432.0679926726124
1617667200,433.95841927671233
1617753600,438.6018283926823
1617840000,411.04415457901695
1617926400,433.2181791992171
1618012800,431.4250699859929
1618099200,436.82923328295345
1618185600,440.1698341338636
1618272000,475.3758797928583
1618358400,471.8056173132171
1618444800,480.36227112592405
1618531200,516.1117539216957
1618617600,497.2668465373405
1618704000,488.15357390218537
1618790400,449.7035151252107
1618876800,423.9429187211952
1618963200,437.238461954038
1619049600,441.36395668226845
1619136000,436.83519232135853
1619222400,425.2767886699766
1619308800,399.44347220678003
1619395200,409.67365733965084
1619481600,464.9221548603003
1619568000,507.27876413852727
1619654400,520.6297119272765
1619740800,521.733570170356
1619827200,534.0627697660258
1619913600,572.8598145053268
1620000000,589.5729181873389
1620086400,604.1530670705436
1620172800,566.1751752744441
1620259200,587.6807224317619
1620345600,567.0463336950788
1620432000,566.0103528113151
