Effective date,Royalton CRIX Crypto Index
23.12.21,5098.25
24.12.21,5082.28
27.12.21,5130.86
28.12.21,4777.49
29.12.21,4698.75
30.12.21,4675.95
31.12.21,4554.93
03.01.22,4602.04
04.01.22,4654.46
05.01.22,4399.78
06.01.22,4297.24
07.01.22,4108.6
10.01.22,4015.11
11.01.22,4172.96
12.01.22,4325.7
13.01.22,4214.22
14.01.22,4253.04
17.01.22,4165.28
18.01.22,4097.54
19.01.22,4072.2
20.01.22,4172.39
21.01.22,3679.88
24.01.22,3471.58
25.01.22,3423.95
26.01.22,3462.96
27.01.22,3282.69
28.01.22,3486.02
31.01.22,3595.18
01.02.22,3641.49
02.02.22,3561.65
03.02.22,3422.71
04.02.22,3834.32
07.02.22,4164.98
08.02.22,4149.46
09.02.22,4246.73
10.02.22,4127.31
11.02.22,3920.18
14.02.22,3899.7
15.02.22,4120.17
16.02.22,4132.42
17.02.22,3824.13
18.02.22,3727.44
21.02.22,3558.58
22.02.22,3507.91
23.02.22,3516.77
24.02.22,3563.27
25.02.22,3641.31
28.02.22,3885.53
01.03.22,4076.38
02.03.22,4044.22
03.03.22,3873.04
04.03.22,3646.06
07.03.22,3461.92
08.03.22,3556.54
09.03.22,3823.04
10.03.22,3662.76
11.03.22,3547.97
14.03.22,3573.44
15.03.22,3679.13
16.03.22,3784.78
17.03.22,3820.18
18.03.22,3936.87
21.03.22,3889.87
22.03.22,3977.42
23.03.22,3980.56
24.03.22,4152.69
25.03.22,4160.97
28.03.22,4519.44
29.03.22,4513.88
30.03.22,4477.63
31.03.22,4333.58
01.04.22,4474.88
04.04.22,4458
05.04.22,4457.36
06.04.22,4197.42
07.04.22,4172.36
08.04.22,4123.37
11.04.22,3827.22
12.04.22,3776.13
13.04.22,3936.69
14.04.22,3816.09
15.04.22,3867.24
18.04.22,3886.18
19.04.22,3984.32
20.04.22,3951.62
21.04.22,3931.89
22.04.22,3799.99
25.04.22,3848.69
26.04.22,3647.58
27.04.22,3685.63
28.04.22,3787.94
29.04.22,3614.01
02.05.22,3623.73
03.05.22,3547.05
04.05.22,3771.19
05.05.22,3455.01
06.05.22,3420.24
09.05.22,2869.72
10.05.22,2912.02
11.05.22,2604.01
12.05.22,2492.91
13.05.22,2651.7
16.05.22,2608.95
17.05.22,2656.34
18.05.22,2574.17
19.05.22,2616.9
20.05.22,2568.34
23.05.22,2576.92
24.05.22,2580.14
25.05.22,2593.13
26.05.22,2505.9
27.05.22,2447.36
30.05.22,2616.42
31.05.22,2682.63
01.06.22,2543.46
02.06.22,2556.65
03.06.22,2479.05
06.06.22,2630.81
07.06.22,2600.67
08.06.22,2523.34
09.06.22,2513.89
10.06.22,2407.91
13.06.22,1885.9
14.06.22,1829.5
15.06.22,1796.43
16.06.22,1717.55
17.06.22,1698.69
20.06.22,1689.61
21.06.22,1746.81
22.06.22,1680.19
23.06.22,1753.2
24.06.22,1825.3
27.06.22,1785.43
28.06.22,1731.42
29.06.22,1708.32
30.06.22,1592.9
01.07.22,1637.99
04.07.22,1689.93
05.07.22,1731.21
06.07.22,1733.41
07.07.22,1858.42
08.07.22,1851.5
11.07.22,1731.81
12.07.22,1624.6
13.07.22,1653.21
14.07.22,1758.78
15.07.22,1822.69
18.07.22,1933.15
19.07.22,2077.44
20.07.22,2081.63
21.07.22,2066.09
22.07.22,2006.31
25.07.22,1949.19
26.07.22,1839.55
27.07.22,2041.29
28.07.22,2154.99
29.07.22,2170.78
01.08.22,2076.32
02.08.22,2081.33
03.08.22,2124.78
04.08.22,2046.47
05.08.22,2111.22
08.08.22,2213.66
09.08.22,2123.29
10.08.22,2208.94
11.08.22,2270.27
12.08.22,2278.81
15.08.22,2251.06
16.08.22,2248.68
17.08.22,2189.22
18.08.22,2199.87
19.08.22,2007.41
22.08.22,1947.34
23.08.22,2005.64
24.08.22,2026.83
25.08.22,2032.12
26.08.22,1915.35
29.08.22,1871.96
30.08.22,1867.39
31.08.22,1894.11
01.09.22,1867.24
02.09.22,1868.3
05.09.22,1869.39
06.09.22,1808.75
07.09.22,1822.53
08.09.22,1876.78
09.09.22,2015.54
12.09.22,2084.66
13.09.22,1910.09
14.09.22,1890.7
15.09.22,1841.67
16.09.22,1810.27
19.09.22,1785.78
20.09.22,1754.73
21.09.22,1745.5
22.09.22,1776.39
23.09.22,1734.95
26.09.22,1770.85
27.09.22,1756.01
28.09.22,1787.26
29.09.22,1780.7
30.09.22,1793.1
03.10.22,1785.78
04.10.22,1846.61
05.10.22,1839.11
06.10.22,1835.73
07.10.22,1792.12
10.10.22,1766.47
11.10.22,1736.42
12.10.22,1749.71
13.10.22,1758.11
14.10.22,1749.27
17.10.22,1779.24
18.10.22,1750.4
19.10.22,1749.25
20.10.22,1728.41
21.10.22,1745.76
24.10.22,1771.91
25.10.22,1889.83
26.10.22,1940.91
27.10.22,1932.63
28.10.22,1934.69
31.10.22,1934.06
01.11.22,1942.29
02.11.22,1912.24
03.11.22,1922.77
04.11.22,2025.57
07.11.22,1982.46
08.11.22,1708.61
09.11.22,1562.4
10.11.22,1702.99
11.11.22,1574.62
14.11.22,1537.66
15.11.22,1587.57
16.11.22,1554.27
17.11.22,1557.12
18.11.22,1558.44
21.11.22,1460.46
22.11.22,1495.25
23.11.22,1556.75
24.11.22,1565.52
25.11.22,1566.64
28.11.22,1535.83
29.11.22,1568.89
30.11.22,1631.73
01.12.22,1607.33
02.12.22,1619.43
05.12.22,1599.83
06.12.22,1602.59
07.12.22,1581.52
08.12.22,1624.31
09.12.22,1609.91
12.12.22,1605.04
13.12.22,1656.41
14.12.22,1651.41
15.12.22,1615.51
16.12.22,1550.49
19.12.22,1514.68
20.12.22,1546.95
21.12.22,1538
22.12.22,1542.22
23.12.22,1545.98
26.12.22,1547.43
27.12.22,1535.36
28.12.22,1522.17
29.12.22,1519.65
30.12.22,1518.59
02.01.23,1539.27
03.01.23,1529.85
04.01.23,1558.66
05.01.23,1563.73
06.01.23,1570.26
09.01.23,1620.4
10.01.23,1646.85
11.01.23,1652.93
12.01.23,1772.62
13.01.23,1794.81
16.01.23,1955.49
17.01.23,1962.78
18.01.23,1892.61
19.01.23,1930.99
20.01.23,2031.71
23.01.23,2076.94
24.01.23,2070.32
25.01.23,2048.5
26.01.23,2069.89
27.01.23,2066.05
30.01.23,2024.04
31.01.23,2068.25
01.02.23,2111.23
02.02.23,2152.25
03.02.23,2113.26
06.02.23,2090.43
07.02.23,2108.44
08.02.23,2075.57
09.02.23,1995.02
10.02.23,1962.3
13.02.23,1933.77
14.02.23,1996.93
15.02.23,2149.81
16.02.23,2176.41
17.02.23,2201.65
20.02.23,2196.54
21.02.23,2163.26
22.02.23,2106.12
23.02.23,2125.84
24.02.23,2065.03
27.02.23,2073.92
28.02.23,2072.47
01.03.23,2086.04
02.03.23,2086.62
03.03.23,1985.65
06.03.23,1986.22
07.03.23,1967.08
08.03.23,1977.13
09.03.23,1802
10.03.23,1799.3
13.03.23,2147.89
14.03.23,2206.82
15.03.23,2134.98
16.03.23,2190.2
17.03.23,2318.84
20.03.23,2367.45
21.03.23,2421.47
22.03.23,2293.79
23.03.23,2432.74
24.03.23,2372.55
27.03.23,2300.18
28.03.23,2368.12
29.03.23,2437.69
30.03.23,2400.31
31.03.23,2444.68
