timestamp,price
1609632000,117.50149617166358
1609718400,134.26024155972465
1609804800,139.75077960402177
1609891200,162.55735336037475
1609977600,167.34461502835066
1610064000,166.6946918579223
1610150400,165.6040736026418
1610236800,188.68671514481989
1610323200,188.57750836066853
1610409600,168.35712320497944
1610496000,177.56132675057717
1610582400,200.3166326551632
1610668800,201.96016922024913
1610755200,203.97969413880224
1610841600,222.64265817864793
1610928000,230.06355194520057
1611014400,234.1984115705518
1611100800,228.77856002583704
1611187200,237.93736925862575
1611273600,192.69063924465215
1611360000,216.50515827109263
1611446400,227.02628429571644
1611532800,265.77696465376994
1611619200,246.72448304801753
1611705600,274.11297751937013
1611792000,268.3535224478968
1611878400,284.8392532368347
1611964800,287.4386218660313
1612051200,323.51052118122766
1612137600,314.1300809956126
1612224000,323.3056240247934
1612310400,323.0124191724198
1612396800,350.82079510484243
1612483200,390.6294631418933
1612569600,437.673307305041
1612656000,403.70518255175944
1612742400,392.98800619920445
1612828800,416.0070423771588
1612915200,421.6298078720118
1613001600,437.1771941449514
1613088000,448.8468811600855
1613174400,484.37045750908607
1613260800,453.24096096886285
1613347200,439.3884563224864
1613433600,424.45333375557885
1613520000,424.92475711496456
1613606400,429.3628855429384
1613692800,433.4665280792103
1613779200,427.36321639582593
1613865600,469.8421059514706
1613952000,471.5595202444638
1614038400,440.4888325762219
1614124800,387.8295975517
1614211200,405.0593827109223
1614297600,374.37879053694536
1614384000,362.07313586418155
1614470400,379.4606791140946
1614556800,371.7964057685446
1614643200,413.7544331235323
1614729600,418.3859223278713
1614816000,427.636081309363
1614902400,429.47988137548094
1614988800,432.21513176816455
1615075200,438.9231487691029
1615161600,469.573400661667
1615248000,481.4849625251635
1615334400,481.61160585724076
1615420800,460.8512756421243
1615507200,461.6200775244628
1615593600,438.26681861608967
1615680000,477.55313739142383
1615766400,455.76187311767796
1615852800,442.2480552671498
1615939200,437.19813046539286
1616025600,442.7871256767211
1616112000,434.4547589389229
1616198400,451.7960952006792
1616284800,441.794163888159
1616371200,443.4008077958921
1616457600,427.1703735921556
1616544000,406.17113037568737
1616630400,370.2754623321453
1616716800,368.4185213834969
1616803200,398.83880621291627
1616889600,395.65994630255835
1616976000,397.34088099960087
1617062400,414.2286731863854
1617148800,414.95078743489984
1617235200,409.9392318380032
1617321600,425.1734098431244
1617408000,458.775486459876
1617494400,431.4818265786827
1617580800,449.24979919781623
1617667200,447.4023241789097
1617753600,449.9645255348593
1617840000,413.06916852780705
1617926400,435.1757017113099
1618012800,427.5494115021351
1618099200,430.79826704835
1618185600,431.8494078508076
1618272000,473.27404722046913
1618358400,468.064126904634
1618444800,488.2057749497816
1618531200,542.2434568247063
1618617600,522.1614063901981
1618704000,503.98295506914343
1618790400,461.18095466562085
1618876800,444.7580667534557
1618963200,445.6470875518903
1619049600,460.56937892999775
1619136000,463.5516446846712
1619222400,446.5821006080524
1619308800,416.3183160768453
1619395200,435.08920178703755
1619481600,485.0781329724404
1619568000,525.9097816121478
1619654400,536.1918656432838
1619740800,523.1706648679175
1619827200,540.7682283948533
1619913600,570.548306049222
1620000000,567.2758104918371
1620086400,610.7294372816167
1620172800,561.7209304000635
1620259200,581.8093611664254
1620345600,564.0132284501584
1620432000,557.0885232978643
1620518400,588.7787219128277
1620604800,562.6658575976606
1620691200,536.6259335389708
1620777600,590.4504441453086
1620864000,584.3564740822075
1620950400,560.3723166808701
1621036800,628.5228571860631
1621123200,565.3334763341282
1621209600,554.0005810145822
1621296000,547.3304613348004
1621382400,597.8972959002049
1621468800,408.8620677436973
1621555200,452.77757198116325
1621641600,375.5241962036167
1621728000,344.1570461800042
1621814400,292.1806580418274
1621900800,398.24566904636373
1621987200,395.0478759425751
1622073600,426.8268299072324
1622160000,402.867873827283
1622246400,356.4445484566403
1622332800,329.6862128316158
1622419200,359.661511384258
1622505600,407.57466281147356
1622592000,393.7381066572038
1622678400,406.92850409047463
1622764800,419.3056185630153
1622851200,389.4495093409345
1622937600,375.6178650610916
1623024000,383.36517265401125
1623110400,350.8728560402181
1623196800,339.89261055912704
1623283200,352.3869711954487
1623369600,330.62248566829834
1623456000,300.95283161209153
1623542400,295.22116207076476
1623628800,323.6756524413492
1623715200,329.91087312146476
1623801600,328.15561279028174
1623888000,303.12025467262066
1623974400,306.141938376815
1624060800,281.73396056707037
1624147200,272.01279486134393
1624233600,287.72527232194943
1624320000,225.7295524165094
1624406400,227.3086386855953
1624492800,237.27508364633186
1624579200,241.6974647641537
1624665600,216.73780467624078
1624752000,215.37439804117056
1624838400,233.5206679426022
1624924800,255.62461426491598
1625011200,261.93710855966964
1625097600,274.2464766583414
1625184000,259.9896414822505
1625270400,261.9258683920973
1625356800,278.7930828380065
1625443200,301.8284977559072
1625529600,316.2973976855936
1625616000,331.14786642718883
1625702400,326.4319154899709
1625788800,300.65967599161553
1625875200,315.0275019746324
1625961600,305.9128009165286
1626048000,313.99926032362043
1626134400,303.01442763572527
1626220800,285.1258596592506
1626307200,285.12426888566745
1626393600,274.73012984734675
1626480000,259.0006899048405
1626566400,261.44322960571026
1626652800,262.8168139843025
1626739200,247.7737299509721
1626825600,234.81517924631916
1626912000,261.0796126067784
1626998400,276.4472698111082
1627084800,286.0385767967282
1627171200,284.4014819692614
1627257600,284.9918562651086
1627344000,292.2080157831063
1627430400,290.7080525052972
1627516800,289.126903275239
1627603200,301.1672025170754
1627689600,313.91728362406025
1627776000,324.37033441145513
1627862400,320.3760976768622
1627948800,322.7158176043514
1628035200,310.2368106109159
1628121600,336.8706703627456
